,AREA,PERIMETER,CITIESX020,FEATURE,NAME,FIPS,FIPS55,POP,STATE_FIPS,STATE,COUNTY,grid
0,0,0,2,"Population less than 10,000",Acme,53073,275,0,53,WA,Whatcom County,34232
1,0,0,6,"Population less than 10,000",Aeneas,53047,660,0,53,WA,Okanogan County,34245
2,0,0,22,"Population 10,000 to 49,999",Anacortes,53057,1990,11451,53,WA,Skagit County,-9999
3,0,0,44,"Population 50,000 to 99,999  County Seat",Bellingham,53073,5280,52179,53,WA,Whatcom County,34531
4,0,0,54,"Population less than 10,000",Blaine,53073,6505,2489,53,WA,Whatcom County,-9999
5,0,0,55,"Population less than 10,000",Blanchard,53057,6610,0,53,WA,Skagit County,34231
6,0,0,63,"Population less than 10,000",Bow,53057,7450,0,53,WA,Skagit County,34231
7,0,0,108,"Population less than 10,000",Chesaw,53047,12035,0,53,WA,Okanogan County,34544
8,0,0,128,"Population less than 10,000  County Seat",Colville,53065,14170,4360,53,WA,Stevens County,34249
9,0,0,130,"Population less than 10,000",Conconully,53047,14310,153,53,WA,Okanogan County,34241
10,0,0,131,"Population less than 10,000",Concrete,53057,14380,735,53,WA,Skagit County,34234
11,0,0,136,"Population less than 10,000",Cordell,53047,14765,0,53,WA,Okanogan County,34543
12,0,0,150,"Population less than 10,000",Curlew,53019,16165,0,53,WA,Ferry County,34546
13,0,0,152,"Population less than 10,000",Custer,53073,16375,0,53,WA,Whatcom County,34530
14,0,0,156,"Population less than 10,000",Danville,53019,16585,0,53,WA,Ferry County,34546
15,0,0,162,"Population less than 10,000",Deming,53073,17495,0,53,WA,Whatcom County,34532
16,0,0,164,"Population less than 10,000",Diablo,53073,17705,0,53,WA,Whatcom County,34236
17,0,0,180,"Population less than 10,000",Eastsound,53055,19980,0,53,WA,San Juan County,34229
18,0,0,190,"Population less than 10,000",Ellisforde,53047,21310,0,53,WA,Okanogan County,34543
19,0,0,201,"Population less than 10,000",Evans,53065,22605,0,53,WA,Stevens County,34248
20,0,0,211,"Population less than 10,000",Ferndale,53073,23620,5398,53,WA,Whatcom County,34530
21,0,0,221,"Population less than 10,000  County Seat",Friday Harbor,53055,25615,1492,53,WA,San Juan County,-9999
22,0,0,226,"Population less than 10,000",Geneva,53073,26420,0,53,WA,Whatcom County,34231
23,0,0,232,"Population less than 10,000",Glacier,53073,26875,0,53,WA,Whatcom County,34533
24,0,0,279,"Population less than 10,000",Ione,53051,33560,507,53,WA,Pend Oreille County,34251
25,0,0,299,"Population less than 10,000",Kettle Falls,53065,35485,1272,53,WA,Stevens County,34248
26,0,0,331,"Population less than 10,000",Laurier,53019,38705,0,53,WA,Ferry County,34548
27,0,0,332,"Population less than 10,000",Leadpoint,53065,38810,0,53,WA,Stevens County,34550
28,0,0,349,"Population less than 10,000",Loomis,53047,40350,0,53,WA,Okanogan County,34542
29,0,0,350,"Population less than 10,000",Lost Creek,53051,40455,0,53,WA,Pend Oreille County,34251
30,0,0,353,"Population less than 10,000",Lyman,53057,40770,275,53,WA,Skagit County,34232
31,0,0,354,"Population less than 10,000",Lynden,53073,40805,5709,53,WA,Whatcom County,34531
32,0,0,359,"Population less than 10,000",Malo,53019,42310,0,53,WA,Ferry County,34546
33,0,0,366,"Population less than 10,000",Maple Falls,53073,43010,0,53,WA,Whatcom County,34532
34,0,0,369,"Population less than 10,000",Marble,53065,43290,0,53,WA,Stevens County,34549
35,0,0,370,"Population less than 10,000",Marblemount,53057,43325,0,53,WA,Skagit County,34235
36,0,0,373,"Population less than 10,000",Marietta,53073,43482,0,53,WA,Whatcom County,34530
37,0,0,381,"Population less than 10,000",Mazama,53047,44445,0,53,WA,Okanogan County,34239
38,0,0,396,"Population less than 10,000",Metaline,53051,45285,198,53,WA,Pend Oreille County,34551
39,0,0,397,"Population less than 10,000",Metaline Falls,53051,45320,210,53,WA,Pend Oreille County,34551
40,0,0,410,"Population less than 10,000",Molson,53047,46545,0,53,WA,Okanogan County,34544
41,0,0,436,"Population less than 10,000",Newhalem,53073,48680,0,53,WA,Whatcom County,34235
42,0,0,438,"Population less than 10,000",Nighthawk,53047,48995,0,53,WA,Okanogan County,34542
43,0,0,447,"Population less than 10,000",Northport,53065,50045,308,53,WA,Stevens County,34549
44,0,0,462,"Population less than 10,000",Orcas,53055,51550,0,53,WA,San Juan County,34229
45,0,0,464,"Population less than 10,000",Orient,53019,51830,0,53,WA,Ferry County,34548
46,0,0,465,"Population less than 10,000",Oroville,53047,51970,1505,53,WA,Okanogan County,34543
47,0,0,518,"Population less than 10,000  County Seat",Republic,53019,57850,940,53,WA,Ferry County,34246
48,0,0,527,"Population less than 10,000",Riverside,53047,58795,223,53,WA,Okanogan County,34242
49,0,0,538,"Population less than 10,000",Rosario,53055,59810,0,53,WA,San Juan County,34229
50,0,0,543,"Population less than 10,000",Ruby,53051,60325,0,53,WA,Pend Oreille County,34251
51,0,0,549,"Population less than 10,000",Samish,53057,61035,0,53,WA,Skagit County,34231
52,0,0,560,"Population less than 10,000",Sedro-Wooley,53057,63210,6031,53,WA,Skagit County,34232
53,0,0,594,"Population less than 10,000",Strandell,53073,68085,0,53,WA,Whatcom County,34531
54,0,0,597,"Population less than 10,000",Sumas,53073,68330,744,53,WA,Whatcom County,34531
55,0,0,606,"Population less than 10,000",Synarep,53047,69415,0,53,WA,Okanogan County,34243
56,0,0,618,"Population less than 10,000",Tiger,53051,71470,0,53,WA,Pend Oreille County,34251
57,0,0,622,"Population less than 10,000",Tonasket,53047,71890,847,53,WA,Okanogan County,34243
58,0,0,640,"Population less than 10,000",Urban,53057,73675,0,53,WA,Skagit County,-9999
59,0,0,645,"Population less than 10,000",Van Zandt,53073,74235,0,53,WA,Whatcom County,34532
60,0,0,655,"Population less than 10,000",Waldron,53055,75705,0,53,WA,San Juan County,-9999
61,0,0,676,"Population less than 10,000",Wickersham,53073,78610,0,53,WA,Whatcom County,34232
62,0,0,716,"Population less than 10,000",Shaw Island,53055,63630,0,53,WA,San Juan County,34229
63,0,0,14285,"Population less than 10,000",Antelope,30091,2050,0,30,MT,Sheridan County,34303
64,0,0,14286,"Population less than 10,000",Apgar,30029,2200,0,30,MT,Flathead County,34265
