grid,statefp,county,state
34940.0,27.0,Lake of the Woods,MN
34941.0,27.0,Lake of the Woods,MN
34632.0,27.0,Kittson,MN
34633.0,27.0,Kittson,MN
34634.0,27.0,Kittson,MN
34635.0,27.0,Roseau,MN
34636.0,27.0,Roseau,MN
34637.0,27.0,Roseau,MN
34638.0,27.0,Roseau,MN
34639.0,27.0,Roseau,MN
34640.0,27.0,Roseau,MN
34641.0,27.0,Lake of the Woods,MN
34332.0,27.0,Kittson,MN
34333.0,27.0,Kittson,MN
34334.0,27.0,Kittson,MN
34335.0,27.0,Roseau,MN
34336.0,27.0,Roseau,MN
34337.0,27.0,Roseau,MN
34338.0,27.0,Roseau,MN
34339.0,27.0,Roseau,MN
34340.0,27.0,Lake of the Woods,MN
34341.0,27.0,Lake of the Woods,MN
34342.0,27.0,Lake of the Woods,MN
34343.0,27.0,Koochiching,MN
34344.0,27.0,Koochiching,MN
34344.0,27.0,Koochiching,MN
34344.0,27.0,Koochiching,MN
34032.0,27.0,Marshall,MN
34033.0,27.0,Marshall,MN
34034.0,27.0,Marshall,MN
34035.0,27.0,Marshall,MN
34036.0,27.0,Marshall,MN
34037.0,27.0,Marshall,MN
34038.0,27.0,Marshall,MN
34039.0,27.0,Beltrami,MN
34040.0,27.0,Lake of the Woods,MN
34041.0,27.0,Lake of the Woods,MN
34042.0,27.0,Lake of the Woods,MN
34043.0,27.0,Koochiching,MN
34044.0,27.0,Koochiching,MN
34045.0,27.0,Koochiching,MN
34046.0,27.0,Koochiching,MN
34047.0,27.0,Koochiching,MN
34048.0,27.0,Koochiching,MN
34049.0,27.0,St. Louis,MN
34050.0,27.0,St. Louis,MN
33732.0,27.0,Polk,MN
33733.0,27.0,Polk,MN
33734.0,27.0,Polk,MN
33735.0,27.0,Pennington,MN
33736.0,27.0,Pennington,MN
33737.0,27.0,Pennington,MN
33738.0,27.0,Pennington,MN
33739.0,27.0,Beltrami,MN
33740.0,27.0,Beltrami,MN
33741.0,27.0,Beltrami,MN
33742.0,27.0,Beltrami,MN
33743.0,27.0,Koochiching,MN
33744.0,27.0,Koochiching,MN
33745.0,27.0,Koochiching,MN
33746.0,27.0,Koochiching,MN
33747.0,27.0,Koochiching,MN
33748.0,27.0,Koochiching,MN
33749.0,27.0,St. Louis,MN
33750.0,27.0,St. Louis,MN
33751.0,27.0,St. Louis,MN
33752.0,27.0,St. Louis,MN
33753.0,27.0,St. Louis,MN
33756.0,27.0,Lake,MN
33757.0,27.0,Cook,MN
33433.0,27.0,Polk,MN
33434.0,27.0,Polk,MN
33435.0,27.0,Red Lake,MN
33436.0,27.0,Red Lake,MN
33437.0,27.0,Red Lake,MN
33438.0,27.0,Polk,MN
33439.0,27.0,Clearwater,MN
33440.0,27.0,Beltrami,MN
33441.0,27.0,Beltrami,MN
33442.0,27.0,Beltrami,MN
33443.0,27.0,Koochiching,MN
33444.0,27.0,Koochiching,MN
33445.0,27.0,Koochiching,MN
33446.0,27.0,Itasca,MN
33447.0,27.0,Itasca,MN
33448.0,27.0,Itasca,MN
33449.0,27.0,St. Louis,MN
33450.0,27.0,St. Louis,MN
33451.0,27.0,St. Louis,MN
33452.0,27.0,St. Louis,MN
33453.0,27.0,St. Louis,MN
33454.0,27.0,Lake,MN
33455.0,27.0,Lake,MN
33456.0,27.0,Lake,MN
33457.0,27.0,Cook,MN
33458.0,27.0,Cook,MN
33459.0,27.0,Cook,MN
33460.0,27.0,Cook,MN
33461.0,27.0,Cook,MN
33133.0,27.0,Polk,MN
33134.0,27.0,Polk,MN
33135.0,27.0,Polk,MN
33136.0,27.0,Polk,MN
33137.0,27.0,Polk,MN
33138.0,27.0,Polk,MN
33139.0,27.0,Clearwater,MN
33140.0,27.0,Beltrami,MN
33141.0,27.0,Beltrami,MN
33142.0,27.0,Beltrami,MN
33143.0,27.0,Itasca,MN
33144.0,27.0,Itasca,MN
33145.0,27.0,Itasca,MN
33146.0,27.0,Itasca,MN
33147.0,27.0,Itasca,MN
33148.0,27.0,Itasca,MN
33149.0,27.0,St. Louis,MN
33150.0,27.0,St. Louis,MN
33151.0,27.0,St. Louis,MN
33152.0,27.0,St. Louis,MN
33153.0,27.0,St. Louis,MN
33154.0,27.0,Lake,MN
33155.0,27.0,Lake,MN
33156.0,27.0,Lake,MN
33157.0,27.0,Cook,MN
32834.0,27.0,Norman,MN
32835.0,27.0,Norman,MN
32836.0,27.0,Norman,MN
32837.0,27.0,Mahnomen,MN
32838.0,27.0,Mahnomen,MN
32839.0,27.0,Clearwater,MN
32840.0,27.0,Hubbard,MN
32841.0,27.0,Hubbard,MN
32842.0,27.0,Cass,MN
32843.0,27.0,Cass,MN
32844.0,27.0,Cass,MN
32845.0,27.0,Itasca,MN
32846.0,27.0,Itasca,MN
32847.0,27.0,Itasca,MN
32848.0,27.0,Itasca,MN
32849.0,27.0,St. Louis,MN
32850.0,27.0,St. Louis,MN
32851.0,27.0,St. Louis,MN
32852.0,27.0,St. Louis,MN
32853.0,27.0,St. Louis,MN
32854.0,27.0,Lake,MN
32855.0,27.0,Lake,MN
32534.0,27.0,Clay,MN
32535.0,27.0,Clay,MN
32536.0,27.0,Becker,MN
32537.0,27.0,Becker,MN
32538.0,27.0,Becker,MN
32539.0,27.0,Becker,MN
32540.0,27.0,Hubbard,MN
32541.0,27.0,Hubbard,MN
32542.0,27.0,Cass,MN
32543.0,27.0,Cass,MN
32544.0,27.0,Cass,MN
32545.0,27.0,Cass,MN
32546.0,27.0,Itasca,MN
32547.0,27.0,Itasca,MN
32548.0,27.0,Itasca,MN
32549.0,27.0,St. Louis,MN
32550.0,27.0,St. Louis,MN
32551.0,27.0,St. Louis,MN
32552.0,27.0,St. Louis,MN
32553.0,27.0,St. Louis,MN
32554.0,27.0,Lake,MN
32234.0,27.0,Clay,MN
32235.0,27.0,Clay,MN
32236.0,27.0,Becker,MN
32237.0,27.0,Becker,MN
32238.0,27.0,Becker,MN
32239.0,27.0,Becker,MN
32240.0,27.0,Hubbard,MN
32241.0,27.0,Hubbard,MN
32242.0,27.0,Cass,MN
32243.0,27.0,Cass,MN
32244.0,27.0,Cass,MN
32245.0,27.0,Cass,MN
32246.0,27.0,Aitkin,MN
32247.0,27.0,Aitkin,MN
32248.0,27.0,Aitkin,MN
32249.0,27.0,St. Louis,MN
32250.0,27.0,St. Louis,MN
32251.0,27.0,St. Louis,MN
32252.0,27.0,St. Louis,MN
31934.0,27.0,Wilkin,MN
31935.0,27.0,Wilkin,MN
31936.0,27.0,Otter Tail,MN
31937.0,27.0,Otter Tail,MN
