grid,county,state,place,gradient,State,County Name,FIPS State,FIPS County,STATE,STUSAB,STATE_NAME,STATENS
34940.0,Lake of the Woods,MN,"Lake of the Woods County, MN",417.0,,,,,,,,
34941.0,Lake of the Woods,MN,"Lake of the Woods County, MN",420.0,,,,,,,,
34632.0,Kittson,MN,"Kittson County, MN",524.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34633.0,Kittson,MN,"Kittson County, MN",528.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34634.0,Kittson,MN,"Kittson County, MN",532.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34635.0,Roseau,MN,"Roseau County, MN",536.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34636.0,Roseau,MN,"Roseau County, MN",540.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34637.0,Roseau,MN,"Roseau County, MN",544.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34638.0,Roseau,MN,"Roseau County, MN",548.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34639.0,Roseau,MN,"Roseau County, MN",552.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34640.0,Roseau,MN,"Roseau County, MN",556.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34641.0,Lake of the Woods,MN,"Lake of the Woods County, MN",560.0,,,,,,,,
34332.0,Kittson,MN,"Kittson County, MN",655.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34333.0,Kittson,MN,"Kittson County, MN",660.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34334.0,Kittson,MN,"Kittson County, MN",665.0,Minnesota,Kittson,27,27069,27.0,MN,Minnesota,662849.0
34335.0,Roseau,MN,"Roseau County, MN",670.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34336.0,Roseau,MN,"Roseau County, MN",675.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34337.0,Roseau,MN,"Roseau County, MN",680.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34338.0,Roseau,MN,"Roseau County, MN",685.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34339.0,Roseau,MN,"Roseau County, MN",690.0,Minnesota,Roseau,27,27135,27.0,MN,Minnesota,662849.0
34340.0,Lake of the Woods,MN,"Lake of the Woods County, MN",695.0,,,,,,,,
34341.0,Lake of the Woods,MN,"Lake of the Woods County, MN",700.0,,,,,,,,
34342.0,Lake of the Woods,MN,"Lake of the Woods County, MN",705.0,,,,,,,,
34343.0,Koochiching,MN,"Koochiching County, MN",710.0,Minnesota,Koochiching,27,27071,27.0,MN,Minnesota,662849.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0,Minnesota,Koochiching,27,27071,27.0,MN,Minnesota,662849.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0,Minnesota,Koochiching,27,27071,27.0,MN,Minnesota,662849.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0,Minnesota,Koochiching,27,27071,27.0,MN,Minnesota,662849.0
34032.0,Marshall,MN,"Marshall County, MN",786.0,Minnesota,Marshall,27,27089,27.0,MN,Minnesota,662849.0
34033.0,Marshall,MN,"Marshall County, MN",792.0,Minnesota,Marshall,27,27089,27.0,MN,Minnesota,662849.0
34034.0,Marshall,MN,"Marshall County, MN",798.0,Minnesota,Marshall,27,27089,27.0,MN,Minnesota,662849.0
