,State,County Name,FIPS State,FIPS County,place
0,Alabama,Autauga,01,01001,"Autauga County, Alabama"
1,Alabama,Baldwin,01,01003,"Baldwin County, Alabama"
2,Alabama,Barbour,01,01005,"Barbour County, Alabama"
3,Alabama,Bibb,01,01007,"Bibb County, Alabama"
4,Alabama,Blount,01,01009,"Blount County, Alabama"
5,Alabama,Bullock,01,01011,"Bullock County, Alabama"
6,Alabama,Butler,01,01013,"Butler County, Alabama"
7,Alabama,Calhoun,01,01015,"Calhoun County, Alabama"
8,Alabama,Chambers,01,01017,"Chambers County, Alabama"
9,Alabama,Cherokee,01,01019,"Cherokee County, Alabama"
10,Alabama,Chilton,01,01021,"Chilton County, Alabama"
11,Alabama,Choctaw,01,01023,"Choctaw County, Alabama"
12,Alabama,Clarke,01,01025,"Clarke County, Alabama"
13,Alabama,Clay,01,01027,"Clay County, Alabama"
14,Alabama,Cleburne,01,01029,"Cleburne County, Alabama"
15,Alabama,Coffee,01,01031,"Coffee County, Alabama"
16,Alabama,Colbert,01,01033,"Colbert County, Alabama"
17,Alabama,Conecuh,01,01035,"Conecuh County, Alabama"
18,Alabama,Coosa,01,01037,"Coosa County, Alabama"
19,Alabama,Covington,01,01039,"Covington County, Alabama"
20,Alabama,Crenshaw,01,01041,"Crenshaw County, Alabama"
21,Alabama,Cullman,01,01043,"Cullman County, Alabama"
22,Alabama,Dale,01,01045,"Dale County, Alabama"
23,Alabama,Dallas,01,01047,"Dallas County, Alabama"
24,Alabama,De Kalb,01,01049,"De Kalb County, Alabama"
25,Alabama,Elmore,01,01051,"Elmore County, Alabama"
26,Alabama,Escambia,01,01053,"Escambia County, Alabama"
27,Alabama,Etowah,01,01055,"Etowah County, Alabama"
28,Alabama,Fayette,01,01057,"Fayette County, Alabama"
29,Alabama,Franklin,01,01059,"Franklin County, Alabama"
30,Alabama,Geneva,01,01061,"Geneva County, Alabama"
31,Alabama,Greene,01,01063,"Greene County, Alabama"
32,Alabama,Hale,01,01065,"Hale County, Alabama"
33,Alabama,Henry,01,01067,"Henry County, Alabama"
34,Alabama,Houston,01,01069,"Houston County, Alabama"
35,Alabama,Jackson,01,01071,"Jackson County, Alabama"
36,Alabama,Jefferson,01,01073,"Jefferson County, Alabama"
37,Alabama,Lamar,01,01075,"Lamar County, Alabama"
38,Alabama,Lauderdale,01,01077,"Lauderdale County, Alabama"
39,Alabama,Lawrence,01,01079,"Lawrence County, Alabama"
40,Alabama,Lee,01,01081,"Lee County, Alabama"
41,Alabama,Limestone,01,01083,"Limestone County, Alabama"
42,Alabama,Lowndes,01,01085,"Lowndes County, Alabama"
43,Alabama,Macon,01,01087,"Macon County, Alabama"
44,Alabama,Madison,01,01089,"Madison County, Alabama"
45,Alabama,Marengo,01,01091,"Marengo County, Alabama"
46,Alabama,Marion,01,01093,"Marion County, Alabama"
47,Alabama,Marshall,01,01095,"Marshall County, Alabama"
48,Alabama,Mobile,01,01097,"Mobile County, Alabama"
49,Alabama,Monroe,01,01099,"Monroe County, Alabama"
50,Alabama,Montgomery,01,01101,"Montgomery County, Alabama"
51,Alabama,Morgan,01,01103,"Morgan County, Alabama"
52,Alabama,Perry,01,01105,"Perry County, Alabama"
53,Alabama,Pickens,01,01107,"Pickens County, Alabama"
54,Alabama,Pike,01,01109,"Pike County, Alabama"
55,Alabama,Randolph,01,01111,"Randolph County, Alabama"
56,Alabama,Russell,01,01113,"Russell County, Alabama"
57,Alabama,St Clair,01,01115,"St Clair County, Alabama"
58,Alabama,Shelby,01,01117,"Shelby County, Alabama"
59,Alabama,Sumter,01,01119,"Sumter County, Alabama"
60,Alabama,Talladega,01,01121,"Talladega County, Alabama"
61,Alabama,Tallapoosa,01,01123,"Tallapoosa County, Alabama"
62,Alabama,Tuscaloosa,01,01125,"Tuscaloosa County, Alabama"
63,Alabama,Walker,01,01127,"Walker County, Alabama"
64,Alabama,Washington,01,01129,"Washington County, Alabama"
65,Alabama,Wilcox,01,01131,"Wilcox County, Alabama"
66,Alabama,Winston,01,01133,"Winston County, Alabama"
67,Alaska,Aleutians East,02,02013,"Aleutians East County, Alaska"
68,Alaska,Aleutians West,02,02016,"Aleutians West County, Alaska"
69,Alaska,Anchorage,02,02020,"Anchorage County, Alaska"
70,Alaska,Bethel,02,02050,"Bethel County, Alaska"
71,Alaska,Bristol Bay,02,02060,"Bristol Bay County, Alaska"
72,Alaska,Denali,02,02068,"Denali County, Alaska"
73,Alaska,Dillingham,02,02070,"Dillingham County, Alaska"
74,Alaska,Fairbanks North Star,02,02090,"Fairbanks North Star County, Alaska"
75,Alaska,Haines,02,02100,"Haines County, Alaska"
76,Alaska,Juneau,02,02110,"Juneau County, Alaska"
77,Alaska,Kenai Peninsula,02,02122,"Kenai Peninsula County, Alaska"
78,Alaska,Ketchikan Gateway,02,02130,"Ketchikan Gateway County, Alaska"
79,Alaska,Kodiak Island,02,02150,"Kodiak Island County, Alaska"
80,Alaska,Lake and Peninsula,02,02164,"Lake and Peninsula County, Alaska"
81,Alaska,Matanuska Susitna,02,02170,"Matanuska Susitna County, Alaska"
82,Alaska,Nome,02,02180,"Nome County, Alaska"
83,Alaska,North Slope,02,02185,"North Slope County, Alaska"
84,Alaska,Northwest Arctic,02,02188,"Northwest Arctic County, Alaska"
85,Alaska,Prince Wales Ketchikan,02,02201,"Prince Wales Ketchikan County, Alaska"
86,Alaska,Sitka,02,02220,"Sitka County, Alaska"
87,Alaska,Skagway Hoonah Angoon,02,02232,"Skagway Hoonah Angoon County, Alaska"
88,Alaska,Southeast Fairbanks,02,02240,"Southeast Fairbanks County, Alaska"
89,Alaska,Valdez Cordova,02,02261,"Valdez Cordova County, Alaska"
90,Alaska,Wade Hampton,02,02270,"Wade Hampton County, Alaska"
91,Alaska,Wrangell Petersburg,02,02280,"Wrangell Petersburg County, Alaska"
92,Alaska,Yakutat,02,02282,"Yakutat County, Alaska"
93,Alaska,Yukon Koyukuk,02,02290,"Yukon Koyukuk County, Alaska"
94,Arizona,Apache,04,04001,"Apache County, Arizona"
95,Arizona,Cochise,04,04003,"Cochise County, Arizona"
96,Arizona,Coconino,04,04005,"Coconino County, Arizona"
97,Arizona,Gila,04,04007,"Gila County, Arizona"
98,Arizona,Graham,04,04009,"Graham County, Arizona"
99,Arizona,Greenlee,04,04011,"Greenlee County, Arizona"
100,Arizona,La Paz,04,04012,"La Paz County, Arizona"
101,Arizona,Maricopa,04,04013,"Maricopa County, Arizona"
102,Arizona,Mohave,04,04015,"Mohave County, Arizona"
103,Arizona,Navajo,04,04017,"Navajo County, Arizona"
104,Arizona,Pima,04,04019,"Pima County, Arizona"
105,Arizona,Pinal,04,04021,"Pinal County, Arizona"
106,Arizona,Santa Cruz,04,04023,"Santa Cruz County, Arizona"
107,Arizona,Yavapai,04,04025,"Yavapai County, Arizona"
108,Arizona,Yuma,04,04027,"Yuma County, Arizona"
109,Arkansas,Arkansas,05,05001,"Arkansas County, Arkansas"
110,Arkansas,Ashley,05,05003,"Ashley County, Arkansas"
111,Arkansas,Baxter,05,05005,"Baxter County, Arkansas"
112,Arkansas,Benton,05,05007,"Benton County, Arkansas"
113,Arkansas,Boone,05,05009,"Boone County, Arkansas"
114,Arkansas,Bradley,05,05011,"Bradley County, Arkansas"
115,Arkansas,Calhoun,05,05013,"Calhoun County, Arkansas"
116,Arkansas,Carroll,05,05015,"Carroll County, Arkansas"
117,Arkansas,Chicot,05,05017,"Chicot County, Arkansas"
118,Arkansas,Clark,05,05019,"Clark County, Arkansas"
119,Arkansas,Clay,05,05021,"Clay County, Arkansas"
120,Arkansas,Cleburne,05,05023,"Cleburne County, Arkansas"
121,Arkansas,Cleveland,05,05025,"Cleveland County, Arkansas"
