county,state,place,grid,gradient,county_fips,state_fips,fips,state_abbr
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",140720,1395,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",140719,1400,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",140120,1674,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",140119,1680,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",140118,1686,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",139520,1953,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",139519,1960,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",139518,1967,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138922,2216,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138921,2224,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138920,2232,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138919,2240,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138918,2248,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138320,2511,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138319,2520,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",138318,2529,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137722,2770,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137721,2780,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137720,2790,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137719,2800,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137718,2810,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137717,2820,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137716,2830,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137715,2840,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137122,3047,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137121,3058,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137120,3069,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137119,3080,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137118,3091,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137117,3102,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137116,3113,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",137115,3124,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136521,3336,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136520,3348,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136519,3360,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136518,3372,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136517,3384,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136516,3396,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",136515,3408,77,27,027077,MN
Kittson,Minnesota,"Kittson County, MN",138937,2096,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138936,2104,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138935,2112,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138934,2120,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138933,2128,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138932,2136,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138931,2144,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138336,2367,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138335,2376,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138334,2385,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138333,2394,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138332,2403,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",138331,2412,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137736,2630,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137735,2640,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137734,2650,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137733,2660,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137732,2670,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137731,2680,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137136,2893,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137135,2904,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137134,2915,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137133,2926,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137132,2937,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",137131,2948,69,27,027069,MN
Roseau,Minnesota,"Roseau County, MN",138930,2152,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138929,2160,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138928,2168,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138927,2176,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138926,2184,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138925,2192,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",138924,2200,135,27,027135,MN
