index,grid,county,state,place,fips
2,34632.0,Kittson,MN,"Kittson County, MN",27069.0
5,34635.0,Roseau,MN,"Roseau County, MN",27135.0
23,34343.0,Koochiching,MN,"Koochiching County, MN",27071.0
27,34032.0,Marshall,MN,"Marshall County, MN",27089.0
34,34039.0,Beltrami,MN,"Beltrami County, MN",27007.0
46,33732.0,Polk,MN,"Polk County, MN",27119.0
49,33735.0,Pennington,MN,"Pennington County, MN",27113.0
68,33756.0,Lake,MN,"Lake County, MN",27075.0
69,33757.0,Cook,MN,"Cook County, MN",27031.0
72,33435.0,Red Lake,MN,"Red Lake County, MN",27125.0
76,33439.0,Clearwater,MN,"Clearwater County, MN",27029.0
83,33446.0,Itasca,MN,"Itasca County, MN",27061.0
124,32834.0,Norman,MN,"Norman County, MN",27107.0
127,32837.0,Mahnomen,MN,"Mahnomen County, MN",27087.0
130,32840.0,Hubbard,MN,"Hubbard County, MN",27057.0
132,32842.0,Cass,MN,"Cass County, MN",27021.0
146,32534.0,Clay,MN,"Clay County, MN",27027.0
148,32536.0,Becker,MN,"Becker County, MN",27005.0
179,32246.0,Aitkin,MN,"Aitkin County, MN",27001.0
186,31934.0,Wilkin,MN,"Wilkin County, MN",27167.0
188,31936.0,Otter Tail,MN,"Otter Tail County, MN",27111.0
192,31940.0,Wadena,MN,"Wadena County, MN",27159.0
196,31944.0,Crow Wing,MN,"Crow Wing County, MN",27035.0
201,31949.0,Carlton,MN,"Carlton County, MN",27017.0
219,31649.0,Pine,MN,"Pine County, MN",27115.0
227,31340.0,Todd,MN,"Todd County, MN",27153.0
229,31342.0,Morrison,MN,"Morrison County, MN",27097.0
233,31346.0,Mille Lacs,MN,"Mille Lacs County, MN",27095.0
234,31347.0,Kanabec,MN,"Kanabec County, MN",27065.0
239,31035.0,Traverse,MN,"Traverse County, MN",27155.0
240,31036.0,Grant,MN,"Grant County, MN",27051.0
242,31038.0,Douglas,MN,"Douglas County, MN",27041.0
256,30736.0,Stevens,MN,"Stevens County, MN",27149.0
258,30738.0,Pope,MN,"Pope County, MN",27121.0
260,30740.0,Stearns,MN,"Stearns County, MN",27145.0
264,30744.0,Benton,MN,"Benton County, MN",27009.0
267,30747.0,Isanti,MN,"Isanti County, MN",27059.0
268,30748.0,Chisago,MN,"Chisago County, MN",27025.0
269,30435.0,Big Stone,MN,"Big Stone County, MN",27011.0
271,30437.0,Swift,MN,"Swift County, MN",27151.0
274,30440.0,Kandiyohi,MN,"Kandiyohi County, MN",27067.0
279,30445.0,Sherburne,MN,"Sherburne County, MN",27141.0
281,30447.0,Anoka,MN,"Anoka County, MN",27003.0
286,30137.0,Chippewa,MN,"Chippewa County, MN",27023.0
