county,state,place,grid,gradient,county_fips,state_fips,fips,state_abbr
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34960,417,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34959,420,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34659,560,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34360,695,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34359,700,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34358,705,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34060,834,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34059,840,77,27,027077,MN
Lake of The Woods,Minnesota,"Lake of The Woods County, MN",34058,846,77,27,027077,MN
Kittson,Minnesota,"Kittson County, MN",34668,524,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",34667,528,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",34666,532,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",34368,655,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",34367,660,69,27,027069,MN
Kittson,Minnesota,"Kittson County, MN",34366,665,69,27,027069,MN
Roseau,Minnesota,"Roseau County, MN",34665,536,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34664,540,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34663,544,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34662,548,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34661,552,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34660,556,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34365,670,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34364,675,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34363,680,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34362,685,135,27,027135,MN
Roseau,Minnesota,"Roseau County, MN",34361,690,135,27,027135,MN
Koochiching,Minnesota,"Koochiching County, MN",34357,710,71,27,027071,MN
Koochiching,Minnesota,"Koochiching County, MN",34356,715,71,27,027071,MN
Koochiching,Minnesota,"Koochiching County, MN",34355,720,71,27,027071,MN
Koochiching,Minnesota,"Koochiching County, MN",34352,735,71,27,027071,MN
Koochiching,Minnesota,"Koochiching County, MN",34057,852,71,27,027071,MN
