grid,county,state,place,gradient
34940.0,Lake of the Woods,MN,"Lake of the Woods County, MN",417.0
34941.0,Lake of the Woods,MN,"Lake of the Woods County, MN",420.0
34632.0,Kittson,MN,"Kittson County, MN",524.0
34633.0,Kittson,MN,"Kittson County, MN",528.0
34634.0,Kittson,MN,"Kittson County, MN",532.0
34635.0,Roseau,MN,"Roseau County, MN",536.0
34636.0,Roseau,MN,"Roseau County, MN",540.0
34637.0,Roseau,MN,"Roseau County, MN",544.0
34638.0,Roseau,MN,"Roseau County, MN",548.0
34639.0,Roseau,MN,"Roseau County, MN",552.0
34640.0,Roseau,MN,"Roseau County, MN",556.0
34641.0,Lake of the Woods,MN,"Lake of the Woods County, MN",560.0
34332.0,Kittson,MN,"Kittson County, MN",655.0
34333.0,Kittson,MN,"Kittson County, MN",660.0
34334.0,Kittson,MN,"Kittson County, MN",665.0
34335.0,Roseau,MN,"Roseau County, MN",670.0
34336.0,Roseau,MN,"Roseau County, MN",675.0
34337.0,Roseau,MN,"Roseau County, MN",680.0
34338.0,Roseau,MN,"Roseau County, MN",685.0
34339.0,Roseau,MN,"Roseau County, MN",690.0
34340.0,Lake of the Woods,MN,"Lake of the Woods County, MN",695.0
34341.0,Lake of the Woods,MN,"Lake of the Woods County, MN",700.0
34342.0,Lake of the Woods,MN,"Lake of the Woods County, MN",705.0
34343.0,Koochiching,MN,"Koochiching County, MN",710.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0
34344.0,Koochiching,MN,"Koochiching County, MN",715.0
34032.0,Marshall,MN,"Marshall County, MN",786.0
34033.0,Marshall,MN,"Marshall County, MN",792.0
34034.0,Marshall,MN,"Marshall County, MN",798.0
34035.0,Marshall,MN,"Marshall County, MN",804.0
34036.0,Marshall,MN,"Marshall County, MN",810.0
34037.0,Marshall,MN,"Marshall County, MN",816.0
34038.0,Marshall,MN,"Marshall County, MN",822.0
34039.0,Beltrami,MN,"Beltrami County, MN",828.0
34040.0,Lake of the Woods,MN,"Lake of the Woods County, MN",834.0
34041.0,Lake of the Woods,MN,"Lake of the Woods County, MN",840.0
34042.0,Lake of the Woods,MN,"Lake of the Woods County, MN",846.0
34043.0,Koochiching,MN,"Koochiching County, MN",852.0
34044.0,Koochiching,MN,"Koochiching County, MN",858.0
34045.0,Koochiching,MN,"Koochiching County, MN",864.0
34046.0,Koochiching,MN,"Koochiching County, MN",870.0
34047.0,Koochiching,MN,"Koochiching County, MN",876.0
34048.0,Koochiching,MN,"Koochiching County, MN",882.0
34049.0,St. Louis,MN,"St. Louis County, MN",888.0
34050.0,St. Louis,MN,"St. Louis County, MN",894.0
33732.0,Polk,MN,"Polk County, MN",917.0
33733.0,Polk,MN,"Polk County, MN",924.0
33734.0,Polk,MN,"Polk County, MN",931.0
33735.0,Pennington,MN,"Pennington County, MN",938.0
33736.0,Pennington,MN,"Pennington County, MN",945.0
33737.0,Pennington,MN,"Pennington County, MN",952.0
33738.0,Pennington,MN,"Pennington County, MN",959.0
33739.0,Beltrami,MN,"Beltrami County, MN",966.0
33740.0,Beltrami,MN,"Beltrami County, MN",973.0
33741.0,Beltrami,MN,"Beltrami County, MN",980.0
33742.0,Beltrami,MN,"Beltrami County, MN",987.0
33743.0,Koochiching,MN,"Koochiching County, MN",994.0
33744.0,Koochiching,MN,"Koochiching County, MN",1001.0
33745.0,Koochiching,MN,"Koochiching County, MN",1008.0
33746.0,Koochiching,MN,"Koochiching County, MN",1015.0
33747.0,Koochiching,MN,"Koochiching County, MN",1022.0
